"Country","Industry","Skills Most in Demand","Total_Employees_Needing_Reskilling","Average_Training_Cost","Total_Training_Cost","Average_Business_Impact"
"Australia","Education","Healthcare Expertise","346","2522.0","872612","144.0"
"Australia","Finance","Sales and Customer Management","452","2380.0","1075760","46.5"
"Australia","Manufacturing","Cloud Computing","78","4034.0","314652","16.5"
"Australia","Retail","Cloud Computing","104","1501.0","156104","45.0"
"Australia","Retail","Project Management","114","4938.0","562932","46.5"
"Brazil","Energy","Trade Skills","284","2529.0","718236","7.5"
"Brazil","Retail","Project Management","334","3902.0","1303268","105.0"
"Brazil","Retail","Trade Skills","220","4245.0","933900","99.0"
"Brazil","Transportation","AI and Machine Learning","444","4690.0","2082360","147.0"
"Canada","Construction","Cybersecurity","232","2997.0","695304","73.5"
"Canada","Education","Project Management","116","3731.0","432796","9.0"
"Canada","Energy","Cloud Computing","331","3847.0","1273357","150.0"
"Canada","Finance","AI and Machine Learning","438","1206.0","528228","84.0"
"Canada","Healthcare","Cybersecurity","177","1590.0","281430","130.5"
"Canada","Retail","Cloud Computing","443","1549.0","686207","36.0"
"Canada","Retail","Sales and Customer Management","309","2077.0","641793","39.0"
"Canada","Technology","Digital Marketing","311","3084.0","959124","45.0"
"Canada","Technology","Project Management","332","2739.0","909348","36.0"
"Canada","Transportation","Data Analysis","361","2070.0","747270","150.0"
"China","Construction","Cloud Computing","139","4183.0","581437","112.5"
"China","Education","Sales and Customer Management","475","3853.0","1830175","43.5"
"China","Energy","Cloud Computing","359","1084.0","389156","108.0"
"China","Retail","Healthcare Expertise","141","4567.0","643947","39.0"
"France","Energy","Digital Marketing","59","3065.0","180835","25.5"
"France","Hospitality","Data Analysis","396","3282.0","1299672","54.0"
"France","Retail","Sales and Customer Management","398","3326.0","1323748","105.0"
"France","Technology","Digital Marketing","378","3533.5","1467177","99.0"
"Germany","Healthcare","Cloud Computing","400","3329.0","1331600","111.0"
"Germany","Healthcare","Healthcare Expertise","447","1530.0","683910","150.0"
"India","Construction","Cloud Computing","253","3118.0","788854","94.5"
"India","Construction","Sales and Customer Management","325","4911.0","1596075","58.5"
"India","Education","Renewable Energy Technology","100","2858.0","285800","49.5"
"Japan","Energy","Cloud Computing","424","2066.0","875984","30.0"
"Japan","Finance","Project Management","202","1785.0","360570","19.5"
"Japan","Healthcare","Renewable Energy Technology","239","2857.0","682823","25.5"
"Japan","Hospitality","Cloud Computing","271","3115.0","844165","136.5"
"Japan","Hospitality","Healthcare Expertise","259","1887.0","488733","142.5"
"Japan","Retail","Data Analysis","381","4566.0","1739646","136.5"
"Japan","Retail","Project Management","192","1095.0","210240","96.0"
"Japan","Technology","Digital Marketing","117","2981.0","348777","147.0"
"UK","Education","Healthcare Expertise","183","4265.0","780495","147.0"
"UK","Finance","Data Analysis","470","2971.0","1396370","10.5"
"UK","Finance","Sales and Customer Management","317","1092.0","346164","6.0"
"UK","Manufacturing","AI and Machine Learning","466","3668.0","1709288","51.0"
"UK","Retail","Project Management","483","4732.0","2285556","150.0"
"USA","Construction","Healthcare Expertise","486","2711.0","1317546","12.0"
"USA","Manufacturing","Data Analysis","335","4674.0","1565790","51.0"
"USA","Retail","Data Analysis","142","3862.0","548404","135.0"
"USA","Technology","Data Analysis","176","3160.0","556160","142.5"
